Distribution;Votes;Rank;Title
0000001222;226116;8.2;Chinatown (1974)
0000001222;394007;8.2;Inside Out (2015/I)
0000001222;488229;8.2;El laberinto del fauno (2006)
0000001222;44747;8.2;Ikiru (1952)
0000001222;184973;8.2;Tonari no Totoro (1988)
0000001222;105661;8.2;On the Waterfront (1954)
0000001222;81318;8.2;Ran (1985)
0000001321;204993;8.2;Room (2015/I)
0000001222;71632;8.2;The Gold Rush (1925)
0000001321;140310;8.2;El secreto de sus ojos (2009)
0000001321;156501;8.2;The Bridge on the River Kwai (1957)
0000001222;482339;8.2;Blade Runner (1982)
0000001222;80727;8.2;Mr. Smith Goes to Washington (1939)
0000001222;117231;8.2;Det sjunde inseglet (1957)
0000001222;227230;8.2;Hauru no ugoku shiro (2004)
0000001321;431738;8.2;Lock, Stock and Two Smoking Barrels (1998)
0000001222;47301;8.2;Judgment at Nuremberg (1961)
0000001321;349756;8.2;Casino (1995)
0000000124;38456;8.2;Eskiya (1996)
0000001221;88704;8.2;Incendies (2010)
0000001321;644182;8.2;A Beautiful Mind (2001)
0000001321;169386;8.2;The Elephant Man (1980)
0000001222;66265;8.1;Smultronstället (1957)
0000001222;56327;8.1;The General (1926)
0000001222;828901;8.1;V for Vendetta (2005)
0000001222;347585;8.1;Warrior (2011)
0000000233;48067;8.1;A Wednesday (2008)
0000001221;836706;8.1;The Wolf of Wall Street (2013)
0000001213;31343;8.1;Sunrise: A Song of Two Humans (1927)
0000001113;27758;8.1;La passion de Jeanne d'Arc (1928)
0000001321;584495;8.1;Gran Torino (2008)
0000000123;76971;8.1;Rang De Basanti (2006)
0000001321;495610;8.1;Trainspotting (1996)
0000001321;112443;8.1;Dial M for Murder (1954)
0000001222;563485;8.1;The Big Lebowski (1998)
0000001221;242827;8.1;The Deer Hunter (1978)
0000001222;29371;8.1;Tôkyô monogatari (1953)
0000001212;224302;8.1;Gone with the Wind (1939)
0000001321;475734;8.1;Fargo (1996)
0000001321;731341;8.1;Finding Nemo (2003)
0000001321;733497;8.1;The Sixth Sense (1999)
0000001222;271894;8.1;The Thing (1982)
0000001321;124707;8.1;Cool Hand Luke (1967)
0000001221;643911;8.1;No Country for Old Men (2007)
0000001222;91350;8.1;Rebecca (1940)
0000001321;510861;8.1;How to Train Your Dragon (2010)
0000000223;35357;8.1;Hera Pheri (2000)
0000000222;47724;8.1;Munna Bhai M.B.B.S. (2003)
0000001221;769157;8.1;Kill Bill: Vol. 1 (2003)
0000001222;448232;8.1;Into the Wild (2007)
0000000123;35429;8.1;Sholay (1975)
0000000124;36547;8.1;Andaz Apna Apna (1994)
0000001221;125849;8.1;Mary and Max (2009)
0000001222;391601;8.1;There Will Be Blood (2007)
0000001321;614680;8.1;Gone Girl (2014)
